id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
52.6	56.9502	116.2444	192.0623	293.2334	373.8562	414.438	400.1666	335.862	240.718	147.2076	77.8996	45.6054
52.7	56.37205	115.6511	191.483825	292.80985	373.61855	414.3145	399.99015	335.5355	240.1975	146.6029	77.3369	45.05785
52.8	55.7968	115.0576	190.9052	292.3856	373.3808	414.192	399.8144	335.208	239.676	145.9984	76.7744	44.5136
52.9	55.22445	114.4639	190.326425	291.96065	373.14295	414.0705	399.63935	334.8795	239.1535	145.3941	76.2121	43.97265
53	54.655	113.87	189.7475	291.535	372.905	413.95	399.465	334.55	238.63	144.79	75.65	43.435
53.1	54.08845	113.2759	189.168425	291.10865	372.66695	413.8305	399.29135	334.2195	238.1055	144.1861	75.0881	42.90065
53.2	53.5248	112.6816	188.5892	290.6816	372.4288	413.712	399.1184	333.888	237.58	143.5824	74.5264	42.3696
53.3	52.96405	112.0871	188.009825	290.25385	372.19055	413.5945	398.94615	333.5555	237.0535	142.9789	73.9649	41.84185
53.4	52.4062	111.4924	187.4303	289.8254	371.9522	413.478	398.7746	333.222	236.526	142.3756	73.4036	41.3174
53.5	51.85125	110.8975	186.850625	289.39625	371.71375	413.3625	398.60375	332.8875	235.9975	141.7725	72.8425	40.79625
53.6	51.2992	110.3024	186.2708	288.9664	371.4752	413.248	398.4336	332.552	235.468	141.1696	72.2816	40.2784
53.7	50.75005	109.7071	185.690825	288.53585	371.23655	413.1345	398.26415	332.2155	234.9375	140.5669	71.7209	39.76385
53.8	50.2038	109.1116	185.1107	288.1046	370.9978	413.022	398.0954	331.878	234.406	139.9644	71.1604	39.2526
53.9	49.66045	108.5159	184.530425	287.67265	370.75895	412.9105	397.92735	331.5395	233.8735	139.3621	70.6001	38.74465
54	49.12	107.92	183.95	287.24	370.52	412.8	397.76	331.2	233.34	138.76	70.04	38.24
54.1	48.58245	107.3239	183.369425	286.80665	370.28095	412.6905	397.59335	330.8595	232.8055	138.1581	69.4801	37.73865
54.2	48.0478	106.7276	182.7887	286.3726	370.0418	412.582	397.4274	330.518	232.27	137.5564	68.9204	37.2406
54.3	47.51605	106.1311	182.207825	285.93785	369.80255	412.4745	397.26215	330.1755	231.7335	136.9549	68.3609	36.74585
54.4	46.9872	105.5344	181.6268	285.5024	369.5632	412.368	397.0976	329.832	231.196	136.3536	67.8016	36.2544
54.5	46.46125	104.9375	181.045625	285.06625	369.32375	412.2625	396.93375	329.4875	230.6575	135.7525	67.2425	35.76625
54.6	45.9382	104.3404	180.4643	284.6294	369.0842	412.158	396.7706	329.142	230.118	135.1516	66.6836	35.2814
54.7	45.41805	103.7431	179.882825	284.19185	368.84455	412.0545	396.60815	328.7955	229.5775	134.5509	66.1249	34.79985
54.8	44.9008	103.1456	179.3012	283.7536	368.6048	411.952	396.4464	328.448	229.036	133.9504	65.5664	34.3216
54.9	44.38645	102.5479	178.719425	283.31465	368.36495	411.8505	396.28535	328.0995	228.4935	133.3501	65.0081	33.84665
